--- 2025-11-04_16-00-01 ---
iansari2 2.73696GB
jkim234 1.5246GB
root 0.902393GB
gdm 0.700787GB
kbae2 0.100315GB
pcp 0.0360794GB
polkitd 0.0300903GB
colord 0.013195GB
dbus 0.00693512GB
daemon 0.00669479GB
rpc 0.00537109GB
avahi 0.00494385GB
chrony 0.0043869GB
rtkit 0.00341797GB
dnsmasq 0.00260925GB
libstor+ 0.0018692GB

