--- 2026-07-19_20-00-01 ---
kbae2 35.3783GB
dnsmasq 9.53674e-05GB
sfang6 9.13392GB
libstor+ 1.14441e-05GB
root 0.441448GB
gdm 0.218948GB
pcp 0.060257GB
iansari2 0.0107574GB
polkitd 0.00996017GB
jhwang24 0.00936127GB
jkim234 0.00437927GB
dbus 0.00403214GB
colord 0.0027771GB
chrony 0.000831604GB
rtkit 0.000621796GB
avahi 0.000480652GB
daemon 0.000305176GB
rpc 0GB

