--- 2025-10-24_22-00-02 ---
libstor+ 4.95911e-05GB
jkim234 3.22431GB
dnsmasq 1.52588e-05GB
root 0.344467GB
gdm 0.121773GB
pcp 0.0452309GB
kbae2 0.0346603GB
polkitd 0.0173454GB
jhwang24 0.00722122GB
gsgatlin 0.00654221GB
dbus 0.00357056GB
avahi 0.00127411GB
chrony 0.00082016GB
daemon 0.00019455GB
rtkit 0.000144958GB
rpc 0.000125885GB
colord 0GB

