--- 2025-10-28_22-00-01 ---
jhwang24 55.7898GB
jkim234 5.7196GB
libstor+ 4.95911e-05GB
iansari2 4.91525GB
dnsmasq 1.52588e-05GB
root 0.645653GB
gdm 0.114761GB
pcp 0.0679932GB
sfang6 0.0370407GB
kbae2 0.0345192GB
polkitd 0.0280685GB
dbus 0.00317383GB
avahi 0.0013237GB
chrony 0.000415802GB
daemon 0.000370026GB
rtkit 0.000152588GB
rpc 0.000102997GB
colord 0GB

