--- 2025-10-01_03-00-02 ---
iansari2 2.99173GB
kbae2 1.59496GB
root 0.630592GB
gdm 0.188911GB
sfang6 0.0393105GB
pcp 0.0265923GB
polkitd 0.023571GB
dbus 0.00524139GB
colord 0.00363922GB
avahi 0.00354385GB
chrony 0.00295258GB
daemon 0.00262451GB
rtkit 0.00237656GB
rpc 0.00219727GB
dnsmasq 0.00179291GB
libstor+ 0.00166702GB

