--- 2025-11-12_13-00-01 ---
iansari2 4.61125GB
jkim234 3.86759GB
kbae2 3.08458GB
root 0.551434GB
gdm 0.140785GB
sfang6 0.0637283GB
pcp 0.0507317GB
polkitd 0.0262794GB
jhwang24 0.011528GB
dbus 0.00390244GB
colord 0.0018959GB
chrony 0.00175095GB
avahi 0.00144958GB
daemon 0.00111771GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

