--- 2026-07-20_07-00-02 ---
kbae2 26.9034GB
jhwang24 7.75558GB
dnsmasq 2.67029e-05GB
sfang6 1.73722GB
libstor+ 1.14441e-05GB
root 0.418633GB
gdm 0.209259GB
pcp 0.0407181GB
polkitd 0.012249GB
iansari2 0.00714874GB
jkim234 0.00538635GB
dbus 0.00404739GB
colord 0.00275803GB
chrony 0.000686646GB
rtkit 0.000621796GB
avahi 0.000476837GB
daemon 0.000305176GB
rpc 0GB

