--- 2026-07-13_13-00-01 ---
kbae2 18.8211GB
libstor+ 9.15527e-05GB
jkim234 0.597191GB
root 0.580189GB
gdm 0.140068GB
pcp 0.0451698GB
sfang6 0.0275612GB
iansari2 0.0106697GB
polkitd 0.010479GB
dbus 0.00352097GB
avahi 0.00134659GB
chrony 0.0012207GB
daemon 0.000827789GB
rpc 0.000328064GB
rtkit 0.000198364GB
colord 0.00019455GB
dnsmasq 0.000106812GB

