--- 2025-10-12_23-00-02 ---
sfang6 14.3219GB
root 0.635384GB
gdm 0.18375GB
pcp 0.0620766GB
kbae2 0.0348587GB
polkitd 0.0247841GB
dbus 0.00482178GB
avahi 0.00373077GB
chrony 0.00272369GB
daemon 0.00256348GB
rtkit 0.00235748GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

