--- 2026-01-24_00-00-01 ---
jkim234 9.18756GB
kbae2 1.86643GB
root 1.21197GB
gdm 0.608887GB
pcp 0.0780983GB
polkitd 0.0397453GB
colord 0.01437GB
dbus 0.00754547GB
daemon 0.0067749GB
avahi 0.00569534GB
rpc 0.00540543GB
chrony 0.00444031GB
rtkit 0.0033989GB
dnsmasq 0.00268555GB
libstor+ 0.00175858GB

