--- 2025-09-18_12-00-02 ---
sfang6 11.4756GB
iansari2 2.76491GB
root 0.502789GB
gdm 0.20499GB
kbae2 0.103466GB
pcp 0.0452423GB
polkitd 0.0142822GB
dbus 0.00495911GB
colord 0.0037384GB
avahi 0.00360489GB
daemon 0.00262451GB
chrony 0.0022583GB
rpc 0.00219727GB
rtkit 0.00198364GB
dnsmasq 0.00179291GB
libstor+ 0.00166702GB

