--- 2026-09-05_04-00-02 ---
libstor+ 7.62939e-06GB
jkim234 5.56475GB
dnsmasq 4.57764e-05GB
colord 3.8147e-06GB
root 0.67635GB
jhwang24 0.627026GB
gdm 0.139408GB
kbae2 0.101734GB
polkitd 0.0309067GB
pcp 0.0275574GB
iansari2 0.0220337GB
tgu4 0.0148926GB
sfang6 0.0109978GB
dbus 0.00430679GB
chrony 0.0025177GB
avahi 0.00182724GB
daemon 0.000431061GB
rtkit 0.000225067GB
rpc 0GB

