--- 2025-11-14_07-00-01 ---
jkim234 7.18077GB
jhwang24 6.38648GB
kbae2 5.56952GB
iansari2 3.32638GB
root 0.763828GB
gdm 0.137405GB
pcp 0.0380287GB
polkitd 0.022892GB
dbus 0.00386047GB
colord 0.00189209GB
avahi 0.00175476GB
chrony 0.00175095GB
daemon 0.00111771GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

