--- 2026-09-07_05-00-02 ---
libstor+ 7.62939e-06GB
jkim234 5.60165GB
dnsmasq 4.57764e-05GB
colord 3.8147e-06GB
kbae2 2.74141GB
root 0.697182GB
jhwang24 0.627716GB
gdm 0.139805GB
polkitd 0.0309067GB
pcp 0.0295639GB
iansari2 0.0220184GB
tgu4 0.0148926GB
sfang6 0.0109863GB
dbus 0.00430679GB
chrony 0.0025177GB
avahi 0.00182724GB
daemon 0.000431061GB
rtkit 0.000225067GB
rpc 0GB

