--- 2025-11-14_18-00-01 ---
jkim234 6.30123GB
jhwang24 5.02642GB
iansari2 2.85991GB
root 0.730824GB
gdm 0.135441GB
kbae2 0.107403GB
pcp 0.060463GB
polkitd 0.0246162GB
dbus 0.00466919GB
colord 0.00189209GB
avahi 0.00174332GB
chrony 0.00162125GB
daemon 0.00109863GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

