--- 2026-03-24_18-00-01 ---
jkim234 2.01515GB
root 0.853329GB
gdm 0.537712GB
pcp 0.0645599GB
polkitd 0.0351753GB
kbae2 0.0349426GB
colord 0.0120621GB
dbus 0.00757217GB
daemon 0.00651932GB
avahi 0.00564957GB
rpc 0.00524139GB
chrony 0.00432968GB
rtkit 0.00354385GB
dnsmasq 0.00254822GB
libstor+ 0.00179672GB

