--- 2026-07-09_01-00-01 ---
kbae2 13.6611GB
sfang6 13.054GB
libstor+ 9.15527e-05GB
jkim234 1.9808GB
root 0.570072GB
gdm 0.120316GB
pcp 0.0215034GB
iansari2 0.0105553GB
polkitd 0.00556183GB
dbus 0.00359726GB
chrony 0.00152969GB
avahi 0.00136185GB
daemon 0.000839233GB
rpc 0.000335693GB
rtkit 0.000202179GB
colord 0.000198364GB
dnsmasq 0.000106812GB

