--- 2026-07-30_01-00-01 ---
rtkit 7.62939e-05GB
dnsmasq 4.95911e-05GB
sfang6 3.99434GB
kbae2 2.38208GB
libstor+ 1.14441e-05GB
root 0.480701GB
gdm 0.112911GB
jhwang24 0.0210457GB
pcp 0.016613GB
iansari2 0.00899124GB
polkitd 0.00862503GB
dbus 0.00311661GB
avahi 0.00106049GB
colord 0.000740051GB
chrony 0.000301361GB
daemon 0.000209808GB
rpc 0GB

