--- 2025-11-12_11-00-01 ---
iansari2 4.61116GB
jkim234 3.86921GB
kbae2 2.32821GB
root 0.540009GB
gdm 0.140717GB
pcp 0.0465965GB
polkitd 0.0260773GB
jhwang24 0.011528GB
dbus 0.00390244GB
colord 0.0018959GB
chrony 0.00175095GB
avahi 0.00144958GB
daemon 0.00111771GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

