--- 2026-07-13_19-00-01 ---
kbae2 21.8577GB
libstor+ 9.15527e-05GB
sfang6 8.95255GB
root 0.563351GB
jkim234 0.532139GB
gdm 0.139194GB
pcp 0.1068GB
iansari2 0.010498GB
polkitd 0.0104675GB
dbus 0.00352097GB
avahi 0.00134659GB
chrony 0.0012207GB
daemon 0.000827789GB
rpc 0.000328064GB
rtkit 0.000198364GB
colord 0.00019455GB
dnsmasq 0.000106812GB

