--- 2025-10-03_03-00-02 ---
kbae2 1.28921GB
root 0.654606GB
sfang6 0.246716GB
gdm 0.18626GB
jhwang24 0.0382538GB
pcp 0.0272675GB
polkitd 0.0209045GB
dbus 0.00504303GB
avahi 0.00378036GB
colord 0.00362396GB
chrony 0.00279236GB
daemon 0.00257111GB
rtkit 0.00237656GB
rpc 0.00217819GB
dnsmasq 0.00178909GB
libstor+ 0.00166321GB

