--- 2026-07-13_17-00-01 ---
sfang6 17.8238GB
kbae2 17.3741GB
libstor+ 9.15527e-05GB
jkim234 0.590435GB
root 0.578785GB
gdm 0.137852GB
pcp 0.0534058GB
polkitd 0.0104752GB
iansari2 0.0104561GB
dbus 0.00352097GB
avahi 0.00134659GB
chrony 0.0012207GB
daemon 0.000827789GB
rpc 0.000328064GB
rtkit 0.000198364GB
colord 0.00019455GB
dnsmasq 0.000106812GB

