--- 2026-07-20_16-00-01 ---
kbae2 28.9625GB
jhwang24 6.8815GB
dnsmasq 1.90735e-05GB
jkim234 1.49769GB
libstor+ 1.14441e-05GB
sfang6 0.470657GB
root 0.419071GB
gdm 0.205124GB
pcp 0.163059GB
polkitd 0.0116043GB
iansari2 0.00737GB
dbus 0.00430679GB
colord 0.00274658GB
rtkit 0.000598907GB
chrony 0.000488281GB
avahi 0.000461578GB
daemon 0.000305176GB
rpc 0GB

