--- 2026-07-14_01-00-01 ---
sfang6 23.3804GB
libstor+ 9.15527e-05GB
kbae2 7.41112GB
root 0.580795GB
jkim234 0.391026GB
gdm 0.138435GB
pcp 0.0184059GB
polkitd 0.0103569GB
iansari2 0.0100441GB
dbus 0.00352097GB
avahi 0.00134659GB
chrony 0.0012207GB
daemon 0.000827789GB
rpc 0.000328064GB
rtkit 0.000198364GB
colord 0.00019455GB
dnsmasq 0.000106812GB

