--- 2026-07-13_18-00-01 ---
sfang6 21.741GB
kbae2 11.1892GB
libstor+ 9.15527e-05GB
root 0.581039GB
jkim234 0.572277GB
gdm 0.137539GB
pcp 0.055851GB
polkitd 0.0104752GB
iansari2 0.0104485GB
dbus 0.00352097GB
avahi 0.00134659GB
chrony 0.0012207GB
daemon 0.000827789GB
rpc 0.000328064GB
rtkit 0.000198364GB
colord 0.00019455GB
dnsmasq 0.000106812GB

