--- 2026-04-23_08-00-02 ---
sfang6 4.88895GB
jkim234 4.2139GB
root 1.04666GB
gdm 0.43206GB
pcp 0.0473595GB
kbae2 0.0363617GB
polkitd 0.0357399GB
colord 0.0111847GB
dbus 0.00740814GB
daemon 0.00615692GB
avahi 0.00539017GB
rpc 0.00515747GB
chrony 0.00481796GB
rtkit 0.0035553GB
dnsmasq 0.002388GB
libstor+ 0.00177765GB

