--- 2025-10-29_19-00-01 ---
jhwang24 36.8719GB
rpc 9.15527e-05GB
sfang6 7.15772GB
jkim234 6.25409GB
daemon 3.8147e-05GB
libstor+ 3.43323e-05GB
root 0.509411GB
gdm 0.120731GB
pcp 0.0562248GB
kbae2 0.0341873GB
iansari2 0.0272942GB
polkitd 0.0225067GB
dbus 0.00405121GB
chrony 0.00167465GB
avahi 0.000968933GB
dnsmasq 0.000419617GB
rtkit 0.000293732GB
colord 0GB

