--- 2026-01-20_23-00-03 ---
jkim234 2.30888GB
root 1.12446GB
gdm 0.608704GB
pcp 0.0741959GB
polkitd 0.0368919GB
kbae2 0.0346603GB
colord 0.01437GB
dbus 0.00754547GB
daemon 0.0067749GB
avahi 0.00569534GB
rpc 0.00540543GB
chrony 0.00444031GB
rtkit 0.0033989GB
dnsmasq 0.00268555GB
libstor+ 0.00175858GB

