--- 2025-11-05_04-00-02 ---
jkim234 3.11052GB
iansari2 2.79226GB
root 0.945065GB
gdm 0.690979GB
kbae2 0.101109GB
pcp 0.0430145GB
sfang6 0.039135GB
polkitd 0.030426GB
colord 0.013195GB
dbus 0.00734711GB
daemon 0.00686264GB
rpc 0.00537109GB
avahi 0.00494385GB
chrony 0.0043869GB
rtkit 0.00341797GB
dnsmasq 0.00260925GB
libstor+ 0.0018692GB

