--- 2026-08-20_22-00-02 ---
dnsmasq 4.57764e-05GB
jkim234 3.63269GB
libstor+ 1.14441e-05GB
root 0.493973GB
gdm 0.127243GB
kbae2 0.102219GB
pcp 0.0603828GB
iansari2 0.0382462GB
tgu4 0.0224571GB
polkitd 0.0188713GB
sfang6 0.0155411GB
jhwang24 0.00914764GB
dbus 0.00338745GB
chrony 0.00246811GB
avahi 0.00106049GB
colord 0.000663757GB
rtkit 0.000530243GB
daemon 0.000209808GB
rpc 0GB

