--- 2025-10-16_14-00-02 ---
jkim234 2.03054GB
root 0.762558GB
sfang6 0.264027GB
gdm 0.184475GB
pcp 0.0487099GB
kbae2 0.0318871GB
polkitd 0.0289955GB
dbus 0.00482178GB
avahi 0.00374222GB
chrony 0.0027771GB
daemon 0.00256348GB
rtkit 0.00236893GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

