--- 2025-11-16_16-00-01 ---
iansari2 6.03228GB
kbae2 2.27728GB
root 0.705509GB
gdm 0.134621GB
pcp 0.0526314GB
polkitd 0.0251236GB
dbus 0.00449371GB
colord 0.00189209GB
avahi 0.00170898GB
chrony 0.00144577GB
daemon 0.00111771GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

