--- 2026-03-19_15-00-02 ---
sfang6 19.2386GB
jkim234 1.83404GB
root 0.799397GB
gdm 0.535549GB
pcp 0.0611267GB
kbae2 0.0351105GB
polkitd 0.0295563GB
colord 0.0120621GB
dbus 0.00751495GB
daemon 0.00651932GB
rpc 0.00524139GB
avahi 0.00520706GB
chrony 0.00432968GB
rtkit 0.00354385GB
dnsmasq 0.00254822GB
libstor+ 0.00179672GB

