--- 2026-07-21_05-00-01 ---
kbae2 30.9108GB
sfang6 12.623GB
jhwang24 6.84534GB
rtkit 1.52588e-05GB
libstor+ 1.14441e-05GB
root 0.4286GB
gdm 0.142948GB
pcp 0.0332718GB
polkitd 0.00692368GB
iansari2 0.0051918GB
dbus 0.00335312GB
colord 0.00148392GB
chrony 0.00094986GB
avahi 0.000854492GB
daemon 0.00031662GB
rpc 0GB
dnsmasq 0GB

