--- 2026-04-20_20-00-02 ---
jkim234 5.13269GB
root 1.01933GB
gdm 0.431988GB
pcp 0.0675621GB
polkitd 0.0397224GB
kbae2 0.0363197GB
colord 0.0111847GB
dbus 0.00740814GB
daemon 0.00615692GB
avahi 0.00539017GB
rpc 0.00515747GB
chrony 0.00481796GB
rtkit 0.0035553GB
dnsmasq 0.002388GB
libstor+ 0.00177765GB

