--- 2025-10-15_21-00-02 ---
jkim234 1.34856GB
root 0.664562GB
gdm 0.184723GB
pcp 0.0592041GB
kbae2 0.0343285GB
polkitd 0.0280724GB
dbus 0.00482178GB
avahi 0.00374222GB
chrony 0.00278473GB
daemon 0.00256348GB
rtkit 0.00235748GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

