--- 2026-03-23_00-00-02 ---
jkim234 2.0131GB
root 1.03403GB
gdm 0.537701GB
kbae2 0.104168GB
pcp 0.0764198GB
polkitd 0.0322571GB
colord 0.0120621GB
dbus 0.00757217GB
daemon 0.00651932GB
avahi 0.00564957GB
rpc 0.00524139GB
chrony 0.00432968GB
rtkit 0.00354385GB
dnsmasq 0.00254822GB
libstor+ 0.00179672GB

