--- 2025-10-25_10-00-02 ---
sfang6 30.4859GB
libstor+ 4.95911e-05GB
dnsmasq 1.52588e-05GB
root 0.312321GB
gdm 0.104565GB
kbae2 0.0343704GB
pcp 0.019474GB
polkitd 0.0151558GB
jhwang24 0.00405121GB
gsgatlin 0.00370789GB
dbus 0.00284958GB
avahi 0.000411987GB
daemon 0.00037384GB
chrony 0.000228882GB
rtkit 0.000137329GB
rpc 0.000102997GB
colord 0GB

