--- 2025-10-21_21-00-06 ---
jhwang24 63.0416GB
root 0.694073GB
gdm 0.166103GB
pcp 0.0696297GB
sfang6 0.0370255GB
kbae2 0.0347481GB
polkitd 0.0279427GB
dbus 0.00462341GB
avahi 0.00323105GB
chrony 0.00218582GB
daemon 0.0020752GB
rtkit 0.00188065GB
rpc 0.00174713GB
dnsmasq 0.00151062GB
libstor+ 0.0014801GB
colord 0.00107574GB

