--- 2025-10-23_11-00-03 ---
jhwang24 7.0982GB
root 0.701649GB
gdm 0.166824GB
pcp 0.0404854GB
kbae2 0.0348129GB
polkitd 0.02985GB
dbus 0.0046196GB
avahi 0.00323105GB
chrony 0.00218582GB
daemon 0.0020752GB
rtkit 0.00188065GB
rpc 0.00174713GB
dnsmasq 0.00151062GB
libstor+ 0.0014801GB
colord 0.00107574GB

