--- 2025-12-13_23-00-02 ---
jkim234 6.73019GB
root 0.938675GB
gdm 0.371414GB
pcp 0.0749626GB
kbae2 0.0352478GB
polkitd 0.0344658GB
skanumu2 0.0293121GB
colord 0.00906372GB
dbus 0.00730515GB
daemon 0.00533295GB
avahi 0.00492096GB
rpc 0.00449753GB
chrony 0.00417328GB
rtkit 0.00315094GB
dnsmasq 0.00222397GB
libstor+ 0.00184631GB

