--- 2025-10-21_13-00-02 ---
root 0.591045GB
gdm 0.167896GB
sfang6 0.0567589GB
pcp 0.0435715GB
jhwang24 0.0380821GB
kbae2 0.0347595GB
polkitd 0.0274429GB
dbus 0.00444031GB
avahi 0.00323105GB
chrony 0.00218582GB
daemon 0.0020752GB
rtkit 0.00188065GB
rpc 0.00174713GB
dnsmasq 0.00151062GB
libstor+ 0.0014801GB
colord 0.00107574GB

