--- 2026-07-01_00-00-01 ---
sfang6 37.4286GB
libstor+ 9.15527e-05GB
root 0.609802GB
jkim234 0.567333GB
gdm 0.124432GB
pcp 0.0634308GB
kbae2 0.0376434GB
jhwang24 0.027607GB
polkitd 0.0146408GB
iansari2 0.0141716GB
dbus 0.00391769GB
chrony 0.00195312GB
daemon 0.00094223GB
rtkit 0.000495911GB
avahi 0.000427246GB
rpc 0.000347137GB
colord 0.000209808GB
dnsmasq 0.000106812GB

