--- 2026-03-25_07-00-01 ---
jkim234 2.01488GB
root 0.856701GB
gdm 0.536922GB
pcp 0.0458336GB
polkitd 0.0364609GB
kbae2 0.0350647GB
colord 0.0120621GB
dbus 0.00757217GB
daemon 0.00651932GB
avahi 0.00564957GB
rpc 0.00524139GB
chrony 0.00432968GB
rtkit 0.00354385GB
dnsmasq 0.00254822GB
libstor+ 0.00179672GB

