--- 2025-12-01_17-00-01 ---
root 1.08498GB
gdm 0.691814GB
kbae2 0.0969315GB
pcp 0.0640755GB
polkitd 0.0402565GB
skanumu2 0.0344849GB
colord 0.0133247GB
dbus 0.00752258GB
daemon 0.00675583GB
rpc 0.00537109GB
avahi 0.00535583GB
chrony 0.00513458GB
rtkit 0.00351334GB
dnsmasq 0.00269318GB
libstor+ 0.00191116GB

