--- 2025-10-17_14-00-03 ---
sfang6 20.2886GB
root 0.621037GB
gdm 0.183132GB
pcp 0.046608GB
kbae2 0.0321045GB
polkitd 0.0301323GB
dbus 0.00483322GB
avahi 0.00374222GB
chrony 0.00272369GB
daemon 0.00256348GB
rtkit 0.00236893GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

