--- 2025-10-27_21-00-02 ---
libstor+ 4.95911e-05GB
iansari2 4.70168GB
dnsmasq 1.52588e-05GB
root 0.625595GB
gdm 0.114258GB
pcp 0.0546646GB
sfang6 0.037262GB
kbae2 0.0346413GB
polkitd 0.0264587GB
gsgatlin 0.016304GB
dbus 0.00319672GB
avahi 0.00133896GB
daemon 0.00037384GB
chrony 0.000228882GB
rtkit 0.000152588GB
rpc 0.000102997GB
colord 0GB

