--- 2026-07-28_01-00-02 ---
kbae2 34.8447GB
sfang6 11.6168GB
rtkit 9.53674e-05GB
dnsmasq 4.95911e-05GB
libstor+ 1.14441e-05GB
jkim234 0.555752GB
root 0.447308GB
gdm 0.117012GB
jhwang24 0.0242386GB
pcp 0.0162849GB
iansari2 0.0104752GB
polkitd 0.0101089GB
dbus 0.00308609GB
colord 0.000751495GB
avahi 0.000549316GB
chrony 0.000526428GB
daemon 0.000209808GB
rpc 0GB

