--- 2026-01-17_02-00-01 ---
jkim234 3.10829GB
root 1.08504GB
gdm 0.689877GB
polkitd 0.040905GB
pcp 0.0378532GB
kbae2 0.0349693GB
colord 0.014801GB
dbus 0.00749969GB
daemon 0.0067749GB
avahi 0.00569534GB
rpc 0.00540543GB
chrony 0.00444031GB
rtkit 0.00330353GB
dnsmasq 0.00271225GB
libstor+ 0.00175858GB

