--- 2026-07-18_06-00-01 ---
jhwang24 6.06538GB
sfang6 5.70165GB
kbae2 1.22334GB
libstor+ 1.14441e-05GB
gdm 0.49596GB
root 0.46516GB
jkim234 0.239784GB
pcp 0.0371056GB
polkitd 0.0162239GB
iansari2 0.0155449GB
colord 0.00551605GB
dbus 0.0042038GB
avahi 0.00170898GB
chrony 0.00113297GB
daemon 0.000431061GB
rtkit 0.000328064GB
rpc 0GB
dnsmasq 0GB

