--- 2025-10-13_15-00-01 ---
sfang6 10.0753GB
root 0.622063GB
gdm 0.183777GB
pcp 0.050808GB
kbae2 0.0344734GB
polkitd 0.0253372GB
dbus 0.00482178GB
avahi 0.00373077GB
chrony 0.00272369GB
daemon 0.00256348GB
rtkit 0.00235748GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

