--- 2026-07-09_18-00-02 ---
kbae2 20.5763GB
sfang6 11.683GB
libstor+ 9.15527e-05GB
jkim234 3.58012GB
root 0.538128GB
gdm 0.117737GB
pcp 0.0557327GB
polkitd 0.010025GB
iansari2 0.0096283GB
dbus 0.00350952GB
chrony 0.00148392GB
avahi 0.00135803GB
daemon 0.000839233GB
rpc 0.000335693GB
rtkit 0.000198364GB
colord 0.000198364GB
dnsmasq 0.000106812GB

