--- 2026-07-28_16-00-01 ---
rtkit 9.53674e-05GB
sfang6 8.86924GB
dnsmasq 4.95911e-05GB
libstor+ 1.14441e-05GB
jkim234 1.12551GB
root 0.493626GB
gdm 0.117561GB
pcp 0.0505676GB
kbae2 0.0322304GB
jhwang24 0.0243301GB
iansari2 0.0108147GB
polkitd 0.0100441GB
dbus 0.00318146GB
colord 0.000751495GB
avahi 0.000549316GB
chrony 0.000526428GB
daemon 0.000209808GB
rpc 0GB

