--- 2025-11-28_02-00-01 ---
root 1.05622GB
gdm 0.691799GB
kbae2 0.0944786GB
polkitd 0.0397682GB
pcp 0.0389633GB
skanumu2 0.0344849GB
colord 0.0133247GB
dbus 0.00752258GB
daemon 0.00675583GB
rpc 0.00537109GB
avahi 0.00535583GB
chrony 0.00437164GB
rtkit 0.00335693GB
dnsmasq 0.00269318GB
libstor+ 0.00191116GB

