--- 2026-09-06_12-00-01 ---
libstor+ 7.62939e-06GB
jkim234 5.58425GB
dnsmasq 4.57764e-05GB
colord 3.8147e-06GB
kbae2 2.66585GB
root 0.693623GB
jhwang24 0.627712GB
gdm 0.139435GB
pcp 0.0485382GB
polkitd 0.0309067GB
iansari2 0.0220184GB
tgu4 0.0148964GB
sfang6 0.0109901GB
dbus 0.00430679GB
chrony 0.0025177GB
avahi 0.00182724GB
daemon 0.000431061GB
rtkit 0.000225067GB
rpc 0GB

