--- 2025-12-25_00-00-01 ---
root 0.953106GB
gdm 0.688461GB
kbae2 0.09412GB
pcp 0.0741196GB
polkitd 0.028244GB
colord 0.0133629GB
unbound 0.00811005GB
dbus 0.00723267GB
daemon 0.00681686GB
rpc 0.0053215GB
avahi 0.00524521GB
chrony 0.00440979GB
rtkit 0.00350571GB
dnsmasq 0.00214005GB
libstor+ 0.00185394GB

