--- 2025-10-19_15-00-02 ---
sfang6 19.4882GB
root 0.637825GB
gdm 0.181107GB
pcp 0.0474205GB
kbae2 0.0309181GB
polkitd 0.0291634GB
dbus 0.00490189GB
avahi 0.00374222GB
chrony 0.00272369GB
daemon 0.00256348GB
rtkit 0.00236893GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

