--- 2026-07-28_15-00-01 ---
rtkit 9.53674e-05GB
dnsmasq 4.95911e-05GB
kbae2 4.57025GB
sfang6 2.03591GB
libstor+ 1.14441e-05GB
root 0.484119GB
jkim234 0.334011GB
gdm 0.116936GB
pcp 0.0497589GB
jhwang24 0.0243111GB
iansari2 0.0108147GB
polkitd 0.0100441GB
dbus 0.00309372GB
colord 0.000751495GB
avahi 0.000549316GB
chrony 0.000526428GB
daemon 0.000209808GB
rpc 0GB

