--- 2025-11-15_20-00-02 ---
iansari2 5.93151GB
jhwang24 5.03982GB
jkim234 0.904861GB
root 0.71262GB
gdm 0.13559GB
pcp 0.0601883GB
kbae2 0.0350418GB
polkitd 0.0253677GB
dbus 0.00473022GB
colord 0.00189209GB
avahi 0.00174332GB
chrony 0.00162125GB
daemon 0.00113678GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

