--- 2025-11-13_16-00-01 ---
jkim234 7.35387GB
kbae2 5.33335GB
iansari2 3.96069GB
root 0.600624GB
gdm 0.139442GB
pcp 0.0571823GB
polkitd 0.0257874GB
jhwang24 0.0114479GB
dbus 0.00386047GB
colord 0.00189209GB
chrony 0.00175095GB
avahi 0.00144958GB
daemon 0.00111771GB
rpc 0.000545502GB
dnsmasq 0.000350952GB
rtkit 0.000301361GB
libstor+ 0.000144958GB

