--- 2026-07-02_00-00-01 ---
sfang6 16.4083GB
libstor+ 9.15527e-05GB
jkim234 2.27562GB
root 0.617363GB
gdm 0.130238GB
kbae2 0.103191GB
pcp 0.0699844GB
iansari2 0.017952GB
polkitd 0.0175743GB
unbound 0.00830841GB
dbus 0.00413513GB
chrony 0.00193787GB
daemon 0.000999451GB
rtkit 0.000461578GB
avahi 0.000427246GB
rpc 0.000347137GB
colord 0.000209808GB
dnsmasq 0.000106812GB

