--- 2026-07-17_22-00-02 ---
jhwang24 6.11786GB
sfang6 2.10261GB
libstor+ 1.14441e-05GB
kbae2 0.955235GB
gdm 0.650963GB
root 0.460915GB
jkim234 0.196545GB
pcp 0.089119GB
polkitd 0.0150261GB
iansari2 0.0148697GB
colord 0.00696182GB
dbus 0.0042038GB
avahi 0.00170898GB
chrony 0.00113297GB
daemon 0.000335693GB
rtkit 0.000328064GB
rpc 0GB
dnsmasq 0GB

