--- 2026-07-19_01-00-01 ---
kbae2 30.0289GB
jhwang24 5.98752GB
libstor+ 1.14441e-05GB
root 0.39521GB
gdm 0.242558GB
jkim234 0.148281GB
pcp 0.0189018GB
iansari2 0.0115776GB
polkitd 0.010128GB
sfang6 0.005867GB
dbus 0.00400543GB
colord 0.0027771GB
chrony 0.000839233GB
rtkit 0.000621796GB
avahi 0.000480652GB
daemon 0.000305176GB
dnsmasq 0.000144958GB
rpc 0GB

