--- 2025-10-01_20-00-01 ---
jkim234 35.3304GB
jhwang24 7.15759GB
kbae2 1.23102GB
root 0.581039GB
gdm 0.184681GB
pcp 0.0513115GB
sfang6 0.0324593GB
polkitd 0.0200462GB
dbus 0.00505829GB
avahi 0.00378036GB
colord 0.00362396GB
chrony 0.00279236GB
daemon 0.00257111GB
rtkit 0.00237274GB
rpc 0.00217819GB
dnsmasq 0.00178909GB
libstor+ 0.00166321GB

